Stock No,Availability,Shape,Weight,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence Intensity,Fluorescence Color,Measurements,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Lab,Certificate Number,Price Per Carat,Rapnet  Discount,Depth,Table,GirdleThin,GirdleThick,GirdlePercent,GirdleCondition,Culet Size,Culet Condition,Crown Height,Crown Angle,Pavilion Depth,Pavilion Angle,Star Length,Lower Half,Laser Inscription,Key to symbols,City,State,Country,Shade,MeasLength,MeasWidth,MeasDepth,Ratio,Treatment,Black Inclusion,White Inclusion,Open Inclusion,Milky,Heart and Arrow,Eye Clean,Comment,Member Comment,Supplier Comment,Trade Show No,Pair Stock #,Diamond Image,Certificate Image,Video Link,H & A Image,Plotting Image
234-268A,G,PB,0.53,L,VVS1,EX,EX,VG,N,N,6.50*4.48*2.93,,,,GIA,2346656545,742.000,-47.000,65.40,57.00,,,,Faceted,NONE,,,,,,,,GIA 2346656545,"Pinpoint, Extra Facet",MUMBAI,,INDIA,White,6.50,4.48,2.93,0.69,,TABLE BLACK 0,WHITE TABLE 0,TABLE OPEN 0,None,0,EYE CLEAN YES,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
238-65A,G,RBC,0.34,D,VVS2,EX,EX,EX,M,BLUE,4.46*4.43*2.79,,,,GIA,5356537160,1353.780,-49.860,62.90,58.00,,,4.00,Faceted,NON,,14.50,34.50,44.50,41.80,50,,GIA 5356537160,Pinpoint,MUMBAI,,INDIA,White,4.46,4.43,2.79,0.99,,TABLE BLACK 0,WHITE TABLE 0,TABLE OPEN 0,None,NEW YORK,SURE,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
241-2A,G,RBC,1.01,M,SI2,EX,EX,EX,N,N,6.43*6.39*3.99,,,,GIA,7356137445,1323.000,-52.750,62.20,59.00,,,4.00,Faceted,NONE,,14.00,34.00,44.50,41.60,50,,GIA 7356137445,"Crystal, Feather, Needle, Natural",NEW YORK,,INDIA,White,6.43,6.39,3.99,0.99,,TABLE BLACK 3,WHITE TABLE 0,TABLE OPEN 0,None,0,EYE CLEAN NO,Pinpoints are not shown.,"GIA Color Is:-M, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
212-99A,G,OV,1.20,M,SI1,VG,EX,VG,N,N,7.63*5.87*3.76,,,,GIA,1348477935,1080.000,-46.000,64.00,60.00,,,,Faceted,NONE,,,,,,,,GIA 1348477935,"Crystal, Feather, Cloud, Indented Natural, Needle, Natural",NEW YORK,,INDIA,White,7.63,5.87,3.76,0.77,,TABLE BLACK 1,WHITE TABLE 2,NONE VISIBLE,None,0,MEDIUM,Additional clouds are not shown. Pinpoints are not shown.,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
237-102A,G,RBC,0.38,H,VS2,VG,EX,EX,S,BLUE,4.63*4.60*2.90,,,,GIA,7353517066,963.000,-46.500,62.90,56.00,,,4.00,Faceted,NON,,15.50,35.00,43.50,41.20,45,,GIA 7353517066 ,"Twinning Wisp, Feather, Crystal",MUMBAI,,INDIA,White,4.63,4.60,2.90,0.99,,TABLE BLACK 1,WHITE TABLE 1,TABLE OPEN 0,None,NEW YORK,SURE,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
235-101A,M,RBC,0.50,L,VS2,VG,EX,VG,S,BLUE,5.02*4.96*3.18,,,,GIA,6355055778,888.250,-47.750,63.80,61.00,,,5.00,Faceted,NONE,,14.00,35.50,44.50,41.80,45,,GIA 6355055778,Cloud,HONG KONG,,INDIA,White,5.02,4.96,3.18,0.99,,TABLE BLACK 0,WHITE TABLE 0,TABLE OPEN 0,None,0,EYE CLEAN YES,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
236-97A,G,OV,0.50,D,VS2,VG,EX,VG,F,N,5.91*4.44*2.83,,,,GIA,6351376957,1456.000,-48.000,63.70,58.00,,,,Faceted,NON,,,,,,,,GIA 6351376957,"Crystal, Cavity, Cloud, Feather",NEW YORK,,INDIA,White,5.91,4.44,2.83,0.75,,TABLE BLACK 0,WHITE TABLE 1,TABLE OPEN 0,None,NEW YORK,SURE,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
227-133D,G,OV,0.30,E,SI2,VG,EX,G,N,N,5.01*3.85*2.45,,,,GIA,1343877380,717.500,-48.750,63.60,54.00,,,,Faceted,NONE,,,,,,,,GIA 1343877380,Feather,MUMBAI,,INDIA,White,5.01,3.85,2.45,0.77,,TABLE BLACK 0,WHITE TABLE 2,TABLE OPEN 1,None,0,EYE CLEAN NO,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
241-84A,G,RBC,0.70,M,VVS1,EX,EX,EX,F,N,5.66*5.62*3.58,,,,GIA,2354175305,1086.750,-52.750,63.40,57.00,,,3.50,Faceted,NONE,,16.00,36.50,43.50,41.20,50,,GIA 2354175305,Pinpoint,NEW YORK,,INDIA,White,5.66,5.62,3.58,0.99,,TABLE BLACK 0,WHITE TABLE 0,TABLE OPEN 0,None,0,EYE CLEAN YES,,"GIA Color Is:-M, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
224-32A,G,OV,2.00,J,SI2,EX,EX,VG,F,N,9.84*7.04*4.42,,,,GIA,7351662819,3908.750,-33.750,62.90,59.00,,,,Faceted,NON,,,,,,,,GIA 7351662819,"Twinning Wisp, Feather, Cavity, Indented Natural",NEW YORK,,INDIA,BROWN,9.84,7.04,4.42,0.72,,TABLE BLACK 2,WHITE TABLE 1,TABLE OPEN 0,None,NEW YORK,MEDIUM,"Additional twinning wisps, pinpoints and surface graining are not shown.","WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
245-24A,G,RBC,1.21,M,VS1,EX,EX,EX,M,BLUE,6.81*6.77*4.25,,,,GIA,6355448927,2157.400,-38.360,62.60,59.00,,,4.00,Faceted,NON,,14.00,34.00,44.50,41.80,50,,GIA 6355448927 ,"Crystal, Needle, Pinpoint, Natural",NEW YORK,,INDIA,White,6.81,6.77,4.25,0.99,,TABLE BLACK 0,WHITE TABLE 0,TABLE OPEN 0,None,NEW YORK,SURE,Additional pinpoints are not shown.,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
0119-33,G,RBC,1.00,D,SI2,G,VG,VG,M,N,6.25*6.19*4.04,,,,GIA,2347219292,2681.250,-58.750,65.00,59.00,,,,,,,15.00,,44.50,,,,,"Twinning Wisp, Feather, Crystal, Indented Natural, Cavity, Needle, Natural",MUMBAI,,INDIA,White,6.25,6.19,4.04,0.99,,TABLE BLACK 1,WHITE TABLE 1,TABLE OPEN 0,None,0,MEDIUM,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
246-51A,G,PB,0.70,J,SI2,VG,EX,G,N,N,7.64*4.97*3.09,,,,GIA,6352622454,1140.000,-43.000,62.20,60.00,,,,Faceted,NON,,,,,,,,GIA 6352622454,"Feather, Crystal, Twinning Wisp",NEW YORK,,INDIA,White,7.64,4.97,3.09,0.65,,TABLE BLACK 1,WHITE TABLE 1,TABLE OPEN 0,None,NEW YORK,SURE,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
245-35A,G,OV,1.01,D,SI2,VG,VG,VG,N,N,7.27*5.58*3.66,,,,IGI,425073417,2193.000,-57.000,65.60,58.00,,,6.00,,Pointed,,18.00,41.50,41.50,39.20,,,,,MUMBAI,,INDIA,White,7.27,5.58,3.66,0.77,,TABLE BLACK 1,WHITE TABLE 1,TABLE OPEN 1,None,NEW YORK,MEDIUM,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
245-15B,G,RBC,0.50,H,SI2,EX,EX,EX,F,N,5.19*5.16*3.04,,,,GIA,6352537178,1469.700,-36.100,58.70,61.00,,,3.50,Faceted,NON,,12.50,32.50,43.00,40.80,45,,GIA 6352537178,Crystal,MUMBAI,,INDIA,White,5.19,5.16,3.04,0.99,,TABLE BLACK 0,WHITE TABLE 1,TABLE OPEN 2,None,NEW YORK,MEDIUM,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
227-79A,G,EM,0.50,D,I1,EX,EX,VG,N,N,5.43*3.87*2.49,,,,GIA,2344863031,811.750,-52.250,64.30,60.00,,,,Faceted,NONE,,,,,,,,GIA 2344863031,Feather,MUMBAI,,INDIA,White,5.43,3.87,2.49,0.71,,NONE VISIBLE  ,WHITE TABLE 2,TABLE OPEN 0,None,0,EYE CLEAN NO,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
209-228A,G,CU,1.50,,I1,EX,EX,VG,N,N,6.52*6.09*4.20,yellow,Fancy Intense,,GIA,1348515988,2178.000,21.000,69.00,59.00,,,,Faceted,NONE,,,,,,,,GIA 1348515988,"Feather, Cloud, Crystal, Needle",NEW YORK,,INDIA,White,6.52,6.09,4.20,0.93,,TABLE BLACK 1,NONE VISIBLE,TABLE OPEN 0,None,0,SURE,"Additional clouds, pinpoints and surface graining are not shown.","GIA Color Is:-yellow, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
205-94A,G,OV,1.80,J,SI2,VG,VG,,M,N,9.40*7.21*4.08,,,,IGI,407934791,2288.000,-48.000,56.60,58.00,,,3.50,Faceted,Pointed,,13.50,34.60,40.00,38.20,,,,,NEW YORK,,INDIA,White,9.40,7.21,4.08,0.77,,TABLE BLACK 0 ,WHITE TABLE 1,NONE VISIBLE,None,0,EYE CLEAN YES,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
222-297A,G,RBC,0.32,M,VVS2,EX,EX,EX,F,N,4.46*4.43*2.70,,,,GIA,6355097350,585.000,-55.000,60.70,61.00,,,3.50,Faceted,NONE,,12.50,33.00,44.50,41.80,50,,GIA 6355097350,"Pinpoint, Feather",MUMBAI,,INDIA,White,4.46,4.43,2.70,0.99,,TABLE BLACK 1,WHITE TABLE 1,TABLE OPEN 0,None,0,EYE CLEAN YES,,"GIA Color Is:-M, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
1219-14,G,RBC,1.00,I,I1,VG,VG,G,N,N,6.26*6.17*4.01,,,,GIA,6342255914,2326.500,-29.500,64.60,57.00,,,,Faceted,,,16.50,,43.00,,,,,"Feather, Twinning Wisp, Crystal, Cavity, Indented Natural",MUMBAI,,INDIA,White,6.26,6.17,4.01,0.99,,TABLE BLACK 0,WHITE TABLE 1,TABLE OPEN 0,None,0,SURE,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
225-178A,G,RBC,0.70,M,SI1,EX,EX,EX,M,BLUE,5.70*5.68*3.53,,,,GIA,2346985866,874.000,-54.000,62.10,56.00,,,3.50,Faceted,NONE,,15.50,36.00,43.00,40.80,50,,GIA 2346985866,"Feather, Twinning Wisp, Indented Natural",NEW YORK,,INDIA,White,5.70,5.68,3.53,1.00,,TABLE BLACK 0,NONE VISIBLE,TABLE OPEN 0,None,0,EYE CLEAN YES,,"GIA Color Is:-M, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
222-308A,G,RBC,0.36,M,VS1,EX,EX,EX,N,N,4.52*4.51*2.85,,,,GIA,7356097376,636.000,-47.000,63.00,55.00,,,4.00,Faceted,NONE,,16.00,35.00,43.00,40.80,50,,GIA 7356097376,"Crystal, Needle",MUMBAI,,INDIA,White,4.52,4.51,2.85,1.00,,TABLE BLACK 1,WHITE TABLE 0,TABLE OPEN 0,None,0,EYE CLEAN YES,,"GIA Color Is:-M, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
219-213A,G,OV,0.50,M,SI2,VG,VG,VG,S,BLUE,6.02*4.45*2.78,,,,GIA,7346496873,378.000,-58.000,62.50,59.00,,,,Faceted,NONE,,,,,,,,GIA 7346496873,Crystal,MUMBAI,,INDIA,White,6.02,4.45,2.78,0.74,,TABLE BLACK 2,WHITE TABLE 0,TABLE OPEN 0,None,0,EYE CLEAN YES,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
228-290A,G,OV,0.50,G,SI2,G,VG,G,M,BLUE,5.55*4.32*2.75,,,,GIA,6342955524,931.000,-51.000,63.70,56.00,,,,Faceted,NONE,,,,,,,,GIA 6342955524,"Crystal, Feather",MUMBAI,,INDIA,White,5.55,4.32,2.75,0.78,,TABLE BLACK 1,WHITE TABLE 1,TABLE OPEN 0,None,0,EYE CLEAN NO,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
239-20A,G,OV,0.99,I,SI2,VG,VG,VG,M,N,7.59*5.70*3.57,,,,IGI,425073448,1625.250,-50.750,62.60,59.50,,,4.90,,Pointed,,12.00,32.60,45.50,41.90,,,,,MUMBAI,,INDIA,White,7.59,5.70,3.57,0.75,,TABLE BLACK 1,WHITE TABLE 1,TABLE OPEN 0,None,NEW YORK,MEDIUM,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
244-6A,G,RBC,1.00,I,SI2,EX,EX,VG,N,N,6.38*6.41*3.99,,,,IGI,425073441,2058.000,-58.000,62.40,55.00,,,3.40,,Pointed,,16.50,35.80,42.50,40.60,,,,,NEW YORK,,INDIA,BROWN,6.38,6.41,3.99,1.00,,TABLE BLACK 1,WHITE TABLE 1,TABLE OPEN 0,None,NEW YORK,MEDIUM,IDEAL CUT ROUND BRILLIANT,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
241-14A,G,RBC,0.51,L,SI2,EX,EX,EX,N,N,5.16*5.14*3.13,,,,GIA,2356230197,858.750,-42.750,60.70,60.00,,,4.00,Faceted,NONE,,13.00,33.00,44.00,41.40,50,,GIA 2356230197,Feather,HONG KONG,,INDIA,White,5.16,5.14,3.13,1.00,,TABLE BLACK 1,WHITE TABLE 2,TABLE OPEN 0,None,0,EYE CLEAN YES,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
205-21B,G,RBC,1.04,G,SI2,EX,EX,VG,F,N,6.55*6.58*3.91,,,,IGI,407914616,2114.000,-62.250,59.50,61.00,,,3.30,Faceted,Pointed,,13.50,34.30,43.00,40.70,,,,,NEW YORK,,INDIA,White,6.55,6.58,3.91,1.00,,TABLE BLACK 2,WHITE TABLE 2,TABLE OPEN 0,None,0,EYE CLEAN NO,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
241-46A,G,RBC,1.00,L,SI1,VG,EX,VG,N,N,6.27*6.20*4.03,,,,GIA,1348999807,1706.250,-51.250,64.60,56.00,,,5.00,Faceted,NONE,,16.50,37.00,43.00,40.60,50,,GIA 1348999807,"Crystal, Feather, Pinpoint, Cloud",NEW YORK,,INDIA,White,6.27,6.20,4.03,0.99,,TABLE BLACK 2,WHITE TABLE 0,TABLE OPEN 0,None,0,EYE CLEAN NO,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
208-115A,G,PB,1.50,,I2,VG,EX,G,S,YELLOW,10.60*6.47*3.63,GREEN,FANCY,Grayish-Yellowish,GIA,1337971073,5574.000,,56.10,67.00,,,,Faceted,NONE,,,,,,,,GIA 1337971073,"Feather, Crystal, Indented Natural, Cavity, Pinpoint, Extra Facet",MUMBAI,,INDIA,GREEN,10.60,6.47,3.63,0.61,,TABLE BLACK 2,WHITE TABLE 1,TABLE OPEN 0,None,0,EYE CLEAN NO,"The color of this stone changes temporarily when gently heated, or when left in darkness for a period of time and is known in the trade as """"CHAMELEON"""". Additional pinpoints are not shown.","GIA Color Is:-GREEN, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
243-18E,G,PB,0.40,J,VS1,EX,EX,VG,N,N,6.73*3.97*2.53,,,,GIA,6355603113,728.000,-48.000,63.70,60.00,,,,Faceted,NON,,,,,,,,GIA 6355603113,"Feather, Pinpoint",MUMBAI,,INDIA,BROWN,6.73,3.97,2.53,0.59,,TABLE BLACK 0,WHITE TABLE 0,TABLE OPEN 0,None,NEW YORK,SURE,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
227-75A,G,RBC,0.37,F,VVS1,EX,EX,EX,N,N,4.67*4.64*2.79,,,,GIA,2347976882,2080.000,-20.000,59.80,61.00,,,3.50,Faceted,NONE,,13.00,33.50,43.50,41.00,50,,GIA 2347976882,"Pinpoint, Feather",MUMBAI,,INDIA,White,4.67,4.64,2.79,0.99,,TABLE BLACK 0,WHITE TABLE 0,TABLE OPEN 0,None,0,EYE CLEAN YES,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
245-45A,M,RBC,1.00,L,SI1,G,EX,VG,F,N,6.16*6.11*4.08,,,,GIA,2356518087,1828.750,-47.750,66.50,55.00,,,6.00,Faceted,NON,,18.50,39.00,42.00,40.00,45,,GIA 2356518087 ,"Feather, Twinning Wisp, Crystal, Indented Natural",MUMBAI,,INDIA,White,6.16,6.11,4.08,0.99,,TABLE BLACK 1,WHITE TABLE 1,TABLE OPEN 0,None,NEW YORK,SURE,"Additional twinning wisps, pinpoints and surface graining are not shown.","WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
241-22A,G,RBC,0.80,M,SI1,EX,EX,EX,N,N,5.93*5.91*3.71,,,,GIA,3355284343,1106.750,-41.750,62.60,55.00,,,3.50,Faceted,NON,,16.50,36.00,42.50,40.60,50,,GIA 3355284343,Feather,NEW YORK,,INDIA,White,5.93,5.91,3.71,1.00,,TABLE BLACK 0,WHITE TABLE 1,TABLE OPEN 0,None,NEW YORK,MEDIUM,,"GIA Color Is:-M, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
245-32A,G,RBC,1.00,F,I1,EX,EX,EX,F,N,6.43*6.38*3.95,,,,GIA,2356539413,2429.250,-40.750,61.60,61.00,,,4.00,Faceted,NON,,13.00,34.00,44.50,41.60,50,,,"Crystal, Cloud, Feather, Needle, Indented Natural",NEW YORK,,INDIA,White,6.43,6.38,3.95,0.99,,TABLE BLACK 2,WHITE TABLE 1,TABLE OPEN 1,None,NEW YORK,MEDIUM,"Additional clouds, pinpoints and surface graining are not shown.","WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
225-52A,G,PB,0.50,M,VS1,G,VG,G,N,N,6.91*4.37*2.63,,,,GIA,7353215003,583.000,-47.000,60.10,55.00,,,,4.37,2.63,,,,,,,,GIA 7353215003,"Feather, Cavity, Needle, Pinpoint",MUMBAI,,INDIA,BROWN,6.91,4.37,2.63,0.63,,TABLE BLACK 0,WHITE TABLE 0,TABLE OPEN 0,None,NV,EYE CLEAN YES,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
227-33A,G,RBC,1.00,F,SI2,VG,EX,EX,N,N,6.25*6.23*4.05,,,,GIA,6345795146,2625.500,-55.500,64.90,55.00,,,5.50,Faceted,NONE,,15.50,34.50,44.00,41.20,45,,GIA 6345795146,"Feather, Crystal, Cloud, Indented Natural, Needle, Natural",NEW YORK,,INDIA,White,6.25,6.23,4.05,1.00,,TABLE BLACK 1,WHITE TABLE 3,TABLE OPEN 0,None,0,EYE CLEAN NO,Additional clouds are not shown. Pinpoints are not shown.,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
244-115A,G,RBC,0.33,H,VVS1,EX,EX,EX,N,N,4.53*4.50*2.72,,,,GIA,2358589016,1289.400,-38.600,60.40,60.00,,,3.50,Faceted,NON,,13.00,32.50,44.50,41.80,45,,GIA 2358589016 ,"Pinpoint, Internal Graining, Feather, Surface Graining",MUMBAI,,INDIA,BROWN,4.53,4.50,2.72,0.99,,TABLE BLACK 0,WHITE TABLE 1,TABLE OPEN 0,None,NEW YORK,SURE,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
225-104A,G,RBC,0.30,M,VS1,EX,EX,EX,N,N,4.38*4.37*2.65,,,,GIA,1358001321,696.000,-42.000,60.60,58.00,,,,Faceted,NON,,,,,,,,GIA 1358001321,"Etch Channel, Feather",HONG KONG,,INDIA,White,4.38,4.37,2.65,1.00,,TABLE BLACK 0,WHITE TABLE 1,TABLE OPEN 0,None,NEW YORK,SURE,Surface graining is not shown.,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
243-1C,G,PB,0.30,F,VVS1,EX,EX,VG,N,N,6.21*3.79*2.23,,,,GIA,6352569761,1149.500,-39.500,58.80,65.00,,,,Faceted,NON,,,,,,,,GIA 6352569761 ,Pinpoint,MUMBAI,,INDIA,White,6.21,3.79,2.23,0.61,,TABLE BLACK 0,WHITE TABLE 0,TABLE OPEN 0,None,NEW YORK,SURE,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
245-57A,G,RBC,0.96,G,SI2,VG,EX,VG,M,N,6.24*6.31*3.87,,,,IGI,432008614,1738.000,-60.500,61.70,62.00,,,5.10,,Pointed,,12.00,32.40,44.50,41.70,,,,,MUMBAI,,INDIA,White,6.24,6.31,3.87,1.01,,TABLE BLACK 1,WHITE TABLE 2,TABLE OPEN 2,None,NEW YORK,MINOR,N/A,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
224-15A,G,OV,1.20,L,SI1,EX,EX,VG,F,N,8.38*6.24*3.67,,,,GIA,7341874091,1422.000,-40.750,58.90,60.00,,,,Faceted,NONE,,,,,,,,GIA 7341874091,"Feather, Twinning Wisp, Indented Natural, Natural",NEW YORK,,INDIA,White,8.38,6.24,3.67,0.74,,TABLE BLACK 1,WHITE TABLE 1,TABLE OPEN 0,None,0,EYE CLEAN NO,"Additional twinning wisps, clouds and surface graining are not shown.","WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
237-254A,G,OV,0.74,M,SI1,VG,EX,VG,F,N,6.57*4.82*2.89,,,,GIA,6351111256,0.000,-10.750,59.80,57.00,,,,Faceted,NON,,,,,,,,GIA 6351111256,"Crystal, Needle, Feather, Indented Natural",MUMBAI,,INDIA,White,6.57,4.82,2.89,0.73,,TABLE BLACK 0,WHITE TABLE 1,TABLE OPEN 0,None,NEW YORK,SURE,"Clouds, pinpoints and surface graining are not shown.","GIA Color Is:-M, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
1875-19,G,RBC,1.05,L,VS2,EX,EX,EX,N,N,6.58*6.55*3.98,,,,IGI,414080660,2071.000,-45.500,60.60,59.00,,,,Faceted,,,13.50,33.20,43.50,41.10,,,,IDEAL CUT ROUND BRILLIANT,MUMBAI,,INDIA,White,6.58,6.55,3.98,1.00,,TABLE BLACK 1,WHITE TABLE 0,TABLE OPEN 0,None,0,MEDIUM,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
DS-27,M,RBC,1.02,E,I1,VG,VG,VG,M,BLUE,6.44*6.36*4.00,,,,GIA,5353703532,4300.000,0.000,62.40,59.00,,,,Faceted,N/A,,0.15,,0.44,,,,,,MUMBAI,,INDIA,White,6.44,6.36,4.00,0.99,,NONE VISIBLE,WHITE TABLE 2,TABLE OPEN 0,None,0,MINOR,0,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
227-161E,G,PB,0.30,I,SI1,EX,EX,VG,F,N,5.96*3.81*2.25,,,,GIA,5346889225,541.750,-50.750,59.10,59.00,,,,Faceted,NONE,,,,,,,,GIA 5346889225,"Cloud, Feather, Crystal",MUMBAI,,INDIA,BROWN,5.96,3.81,2.25,0.64,,TABLE BLACK 1,WHITE TABLE 0,TABLE OPEN 0,None,0,EYE CLEAN YES,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
239-111A,G,RBC,0.70,L,SI2,VG,EX,VG,M,BLUE,5.56*5.49*3.58,,,,GIA,2358536387,978.500,-48.500,64.80,56.00,,,5.00,Faceted,NON,,17.50,38.00,42.50,40.40,50,,GIA 2358536387,"Feather, Cloud, Crystal",NEW YORK,,INDIA,White,5.56,5.49,3.58,0.99,,TABLE BLACK 1 ,WHITE TABLE 0,TABLE OPEN 0,None,NEW YORK,SURE,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
1219-13,G,RBC,1.01,D,SI2,G,VG,F,N,N,6.33*6.24*4.01,,,,GIA,7346254630,2762.500,-57.500,63.70,60.00,,,,,,,14.00,,44.00,,,,,"Twinning Wisp, Crystal, Cloud, Feather, Indented Natural, Natural, Needle, Extra Facet",MUMBAI,,INDIA,White,6.33,6.24,4.01,0.99,,TABLE BLACK 1,WHITE TABLE 1,NONE VISIBLE,None,0,MEDIUM,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
