Stock #,Availability,Shape,Weight,Color,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Clarity,Cut Grade,Polish,Symmetry,Fluorescence Intensity,Fluorescence Color,Measurements,Measurements Length,Measurements Width,Measurements Depth,Lab,Certificate ID,Treatment,Price Per Carat,Discount,Depth,Table,Girdle Thin,Girdle Thick,Girdle,Girdle Condition,Culet Size,Culet Condition,Crown Height,Crown Angle,Pavilion Depth,Milky Inclusions,Black Inclusions,White Inclusions,Open Inclusions,Center Inclusions,Pavilion Angle,Laser Inscription,Member Comments,Supplier Comments,Country,State,City,Parcel Stones,CertificateLink,Certificate Comment,Diamond Image,Diamond Video,Is Matched Pair Separable,Pair Stock #,Eye Clean,Shade,Brand,Type2A,Type2ALink,Trade Show,ReportType,reportIssueDate,reportIssueLocation,diamondJourney,cashDiscount%,Star Length,Lower Half,Heart and Arrow,H & A Image,Plotting Image
236-97A,G,OV,0.50,D,,,,VS2,VG,EX,VG,F,N,5.91*4.44*2.83,5.91,4.44,2.83,GIA,6351376957,,1470.000,47.500,63.70,58.00,STK to VTK,,,Faceted,NON,,,,,NONE,BT0,WT1,TO0,CO1,,GIA 6351376957,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,NEW YORK,,,,https://srd.world/vision360/imaged/236-97A/still.jpg,https://srd.world/vision360/vision360.html?d=236-97A&s=0,,,SURE,NO BGM,,,,,,,,,,,,NEW YORK,,
227-133D,G,OV,0.30,E,,,,SI2,VG,EX,G,N,N,5.01*3.85*2.45,5.01,3.85,2.45,GIA,1343877380,,724.500,48.250,63.60,54.00,STK to VTK,,,Faceted,NONE,,,,,NONE,BT0,WT2,TO1,CO1,,GIA 1343877380,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/Vision360/NoMedia/noimage.jpg,https://srd.world/vision360/NoMedia/novideo.pdf,,,EYE CLEAN NO,NO BGM,,,,,,,,,,,,,,
241-84A,G,RBC,0.70,M,,,,VVS1,EX,EX,EX,F,N,5.66*5.62*3.58,5.66,5.62,3.58,GIA,2354175305,,1104.000,52.000,63.40,57.00,MED to STK,,3.50,Faceted,NONE,,16.00,36.50,43.50,NONE,BT0,WT0,TO0,CO0,41.20,GIA 2354175305,"GIA Color Is:-N, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/Vision360/NoMedia/noimage.jpg,https://srd.world/vision360/NoMedia/novideo.pdf,,,EYE CLEAN YES,NO BGM,,,,,,,,,,50,80,,,
224-32A,G,OV,2.00,J,,,,SI2,EX,EX,VG,F,N,9.84*7.04*4.42,9.84,7.04,4.42,GIA,7351662819,,3953.000,33.000,62.90,59.00,STK to THK,,,Faceted,NON,,,,,NONE,BT2,WT1,TO0,CO2,,GIA 7351662819,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/224-32A/still.jpg,https://srd.world/vision360/vision360.html?d=224-32A&s=0,,,MEDIUM,BROWN 1,,,,,,,,,,,,NEW YORK,,
245-24A,G,RBC,1.21,M,,,,VS1,EX,EX,EX,M,BLUE,6.81*6.77*4.25,6.81,6.77,4.25,GIA,6355448927,,2183.650,37.610,62.60,59.00,STK,,4.00,Faceted,NON,,14.00,34.00,44.50,NONE,BT0,WT0,TO0,CO0,41.80,GIA 6355448927 ,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,NEW YORK,,,,https://srd.world/vision360/imaged/245-24A/still.jpg,https://srd.world/vision360/vision360.html?d=245-24A&s=0,,,SURE,NO BGM,,,,,,,,,,50,75,NEW YORK,,
0119-33,G,RBC,1.00,D,,,,SI2,G,VG,VG,M,N,6.25*6.19*4.04,6.25,6.19,4.04,GIA,2347219292,,2697.500,58.500,65.00,59.00,,,,,,,15.00,,44.50,NONE,BT1,WT1,TO0,CO2,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/0119-33/still.jpg,https://srd.world/vision360/vision360.html?d=0119-33&s=0,,,MEDIUM,NO BGM,,,,,,,,,,,,,,
246-51A,G,PB,0.70,J,,,,SI2,VG,EX,G,N,N,7.64*4.97*3.09,7.64,4.97,3.09,GIA,6352622454,,1160.000,42.000,62.20,60.00,MED to THK,,,Faceted,NON,,,,,NONE,BT1,WT1,TO0,NV,,GIA 6352622454,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/246-51A/still.jpg,https://srd.world/vision360/vision360.html?d=246-51A&s=0,,,SURE,NO BGM,,,,,,,,,,,,NEW YORK,,
245-35A,G,OV,1.01,D,,,,SI2,VG,VG,VG,N,N,7.27*5.58*3.66,7.27,5.58,3.66,IGI,425073417,,2218.500,56.500,65.60,58.00,Slightly Thick To Thick (Faceted) ,,6.00,,Pointed,,18.00,41.50,41.50,NONE,BT1,WT1,TO1,CO2,39.20,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/245-35A/still.jpg,https://srd.world/vision360/vision360.html?d=245-35A&s=0,,,MEDIUM,NO BGM,,,,,,,,,,,,NEW YORK,,
245-15B,G,RBC,0.50,H,,,,SI2,EX,EX,EX,F,N,5.19*5.16*3.04,5.19,5.16,3.04,GIA,6352537178,,1492.700,35.100,58.70,61.00,MED to STK,,3.50,Faceted,NON,,12.50,32.50,43.00,NONE,BT0,WT1,TO2,NV,40.80,GIA 6352537178,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/245-15B/still.jpg,https://srd.world/vision360/vision360.html?d=245-15B&s=0,,,MEDIUM,NO BGM,,,,,,,,,,45,75,NEW YORK,,
227-79A,G,EM,0.50,D,,,,I1,EX,EX,VG,N,N,5.43*3.87*2.49,5.43,3.87,2.49,GIA,2344863031,,824.500,51.500,64.30,60.00,THK,,,Faceted,NONE,,,,,NONE,NV,WT2,TO0,CO0,,GIA 2344863031,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/227-79A/still.jpg,https://srd.world/vision360/vision360.html?d=227-79A&s=0,,,EYE CLEAN NO,NO BGM,,,,,,,,,,,,,,
209-228A,G,CU,1.50,M,yellow,Fancy Intense,,I1,EX,EX,VG,N,N,6.52*6.09*4.20,6.52,6.09,4.20,GIA,1348515988,,2196.000,-22.000,69.00,59.00,VTK to ETK,,,Faceted,NONE,,,,,NONE,BT1,NV,TO0,CO1,,GIA 1348515988,"GIA Color Is:-yellow, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/209-228A/still.jpg,https://srd.world/vision360/vision360.html?d=209-228A&s=0,,,SURE,NO BGM,,,,,,,,,,,,,,
205-94A,G,OV,1.80,J,,,,SI2,VG,VG,,M,N,9.40*7.21*4.08,9.40,7.21,4.08,IGI,407934791,,2332.000,47.000,56.60,58.00,Thin To Thick (Faceted) ,,3.50,Faceted,Pointed,,13.50,34.60,40.00,NONE,BT0,WT1,NV,CO1,38.20,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/205-94A/still.jpg,https://srd.world/vision360/vision360.html?d=205-94A&s=0,,,EYE CLEAN YES,NO BGM,,,,,,,,,,,,,,
222-297A,G,RBC,0.32,M,,,,VVS2,EX,EX,EX,F,N,4.46*4.43*2.70,4.46,4.43,2.70,GIA,6355097350,,598.000,54.000,60.70,61.00,MED to STK,,3.50,Faceted,NONE,,12.50,33.00,44.50,NONE,BT1,WT1,TO0,CO0,41.80,GIA 6355097350,"GIA Color Is:-N, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/Vision360/NoMedia/noimage.jpg,https://srd.world/vision360/NoMedia/novideo.pdf,,,EYE CLEAN YES,NO BGM,,,,,,,,,,50,75,,,
1219-14,G,RBC,1.00,I,,,,I1,VG,VG,G,N,N,6.26*6.17*4.01,6.26,6.17,4.01,GIA,6342255914,,2351.250,28.750,64.60,57.00,STK to THK,,,Faceted,,,16.50,,43.00,NONE,BT0,WT1,TO0,CO1,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/1219-14/still.jpg,https://srd.world/vision360/NoMedia/novideo.pdf,,,SURE,NO BGM,,,,,,,,,,,,,,
225-178A,G,RBC,0.70,M,,,,SI1,EX,EX,EX,M,BLUE,5.70*5.68*3.53,5.70,5.68,3.53,GIA,2346985866,,888.250,53.250,62.10,56.00,THN to MED,,3.50,Faceted,NONE,,15.50,36.00,43.00,NONE,BT0,NV,TO0,CO2,40.80,GIA 2346985866,"GIA Color Is:-N, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/225-178A/still.jpg,https://srd.world/vision360/NoMedia/novideo.pdf,,,EYE CLEAN YES,NO BGM,,,,,,,,,,50,80,,,
222-308A,G,RBC,0.36,M,,,,VS1,EX,EX,EX,N,N,4.52*4.51*2.85,4.52,4.51,2.85,GIA,7356097376,,648.000,46.000,63.00,55.00,MED to STK,,4.00,Faceted,NONE,,16.00,35.00,43.00,NONE,BT1,WT0,TO0,CO0,40.80,GIA 7356097376,"GIA Color Is:-N, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/Vision360/NoMedia/noimage.jpg,https://srd.world/vision360/NoMedia/novideo.pdf,,,EYE CLEAN YES,NO BGM,,,,,,,,,,50,75,,,
244-7A,M,OV,0.75,H,,,,VVS2,EX,EX,VG,N,N,7.36*5.10*3.05,7.36,5.10,3.05,GIA,6352280779,,2176.000,36.000,59.70,61.00,STK to VTK,,,Faceted,NON,,,,,NONE,BT0,WT0,TO0,CO0,,GIA 6352280779,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/244-7A/still.jpg,https://srd.world/vision360/vision360.html?d=244-7A&s=0,,,SURE,NO BGM,,,,,,,,,,,,NEW YORK,,
242-16A,M,RBC,2.00,H,,,,SI2,EX,EX,VG,N,N,7.97*8.08*4.93,7.97,8.08,4.93,IGI,414079631,,3735.000,58.500,61.20,60.00,Medium To Slightly Thick (Faceted) ,,3.90,,Pointed,,14.50,35.50,43.00,NONE,BT2,WT2,TO0,NV,40.80,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/242-16A/still.jpg,https://srd.world/vision360/vision360.html?d=242-16A&s=0,,,MEDIUM,NO BGM,,,,,,,,,,,,NEW YORK,,
219-213A,G,OV,0.50,M,,,,SI2,VG,VG,VG,S,BLUE,6.02*4.45*2.78,6.02,4.45,2.78,GIA,7346496873,,387.000,57.000,62.50,59.00,MED to VTK,,,Faceted,NONE,,,,,NONE,BT2,WT0,TO0,CO0,,GIA 7346496873,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/219-213A/still.jpg,https://srd.world/vision360/vision360.html?d=219-213A&s=0,,,EYE CLEAN YES,NO BGM,,,,,,,,,,,,,,
228-290A,G,OV,0.50,G,,,,SI2,G,VG,G,M,BLUE,5.55*4.32*2.75,5.55,4.32,2.75,GIA,6342955524,,945.250,50.250,63.70,56.00,VTK to ETK,,,Faceted,NONE,,,,,NONE,BT1,WT1,TO0,CO2,,GIA 6342955524,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/228-290A/still.jpg,https://srd.world/vision360/vision360.html?d=228-290A&s=0,,,EYE CLEAN NO,NO BGM,,,,,,,,,,,,,,
239-20A,G,OV,0.99,I,,,,SI2,VG,VG,VG,M,N,7.59*5.70*3.57,7.59,5.70,3.57,IGI,425073448,,1650.000,50.000,62.60,59.50,Medium To Thick (Faceted) ,,4.90,,Pointed,,12.00,32.60,45.50,NONE,BT1,WT1,TO0,CO2,41.90,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/239-20A/still.jpg,https://srd.world/vision360/vision360.html?d=239-20A&s=0,,,MEDIUM,NO BGM,,,,,,,,,,,,NEW YORK,,
244-6A,G,RBC,1.00,I,,,,SI2,EX,EX,VG,N,N,6.38*6.41*3.99,6.38,6.41,3.99,IGI,425073441,,2082.500,57.500,62.40,55.00,Medium (Faceted) ,,3.40,,Pointed,,16.50,35.80,42.50,NONE,BT1,WT1,TO0,CO2,40.60,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,NEW YORK,,,,https://srd.world/vision360/imaged/244-6A/still.jpg,https://srd.world/vision360/vision360.html?d=244-6A&s=0,,,MEDIUM,BROWN 1,,,,,,,,,,,,NEW YORK,,
241-14A,G,RBC,0.51,L,,,,SI2,EX,EX,EX,N,N,5.16*5.14*3.13,5.16,5.14,3.13,GIA,2356230197,,870.000,42.000,60.70,60.00,MED to STK,,4.00,Faceted,NONE,,13.00,33.00,44.00,NONE,BT1,WT2,TO0,CO0,41.40,GIA 2356230197,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,HONG KONG,,,,https://srd.world/vision360/imaged/241-14A/still.jpg,https://srd.world/vision360/vision360.html?d=241-14A&s=0,,,EYE CLEAN YES,NO BGM,,,,,,,,,,50,75,,,
205-21B,G,RBC,1.04,G,,,,SI2,EX,EX,VG,F,N,6.55*6.58*3.91,6.55,6.58,3.91,IGI,407914616,,2170.000,61.250,59.50,61.00,Medium (Faceted) ,,3.30,Faceted,Pointed,,13.50,34.30,43.00,NONE,BT2,WT2,TO0,CO0,40.70,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/205-21B/still.jpg,https://srd.world/vision360/vision360.html?d=205-21B&s=0,,,EYE CLEAN NO,NO BGM,,,,,,,,,,,,,,
241-46A,G,RBC,1.00,L,,,,SI1,VG,EX,VG,N,N,6.27*6.20*4.03,6.27,6.20,4.03,GIA,1348999807,,1732.500,50.500,64.60,56.00,THK,,5.00,Faceted,NONE,,16.50,37.00,43.00,NONE,BT2,WT0,TO0,CO1,40.60,GIA 1348999807,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/241-46A/still.jpg,https://srd.world/vision360/vision360.html?d=241-46A&s=0,,,EYE CLEAN NO,NO BGM,,,,,,,,,,50,75,,,
208-115A,G,PB,1.50,M,GREEN,FANCY,Grayish-Yellowish,I2,VG,EX,G,S,YELLOW,10.60*6.47*3.63,10.60,6.47,3.63,GIA,1337971073,,5592.000,-366.000,56.10,67.00,STK to ETK,,,Faceted,NONE,,,,,NONE,BT2,WT1,TO0,CO1,,GIA 1337971073,"GIA Color Is:-GREEN, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/208-115A/still.jpg,https://srd.world/vision360/vision360.html?d=208-115A&s=0,,,EYE CLEAN NO,GREEN,,,,,,,,,,,,,,
243-18E,G,PB,0.40,J,,,,VS1,EX,EX,VG,N,N,6.73*3.97*2.53,6.73,3.97,2.53,GIA,6355603113,,735.000,47.500,63.70,60.00,STK to VTK,,,Faceted,NON,,,,,NONE,BT0,WT0,TO0,CO0,,GIA 6355603113,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/243-18E/still.jpg,https://srd.world/vision360/vision360.html?d=243-18E&s=0,,,SURE,BROWN 1,,,,,,,,,,,,NEW YORK,,
227-75A,G,RBC,0.37,F,,,,VVS1,EX,EX,EX,N,N,4.67*4.64*2.79,4.67,4.64,2.79,GIA,2347976882,,2099.500,19.250,59.80,61.00,MED to STK,,3.50,Faceted,NONE,,13.00,33.50,43.50,NONE,BT0,WT0,TO0,CO0,41.00,GIA 2347976882,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/Vision360/NoMedia/noimage.jpg,https://srd.world/vision360/NoMedia/novideo.pdf,,,EYE CLEAN YES,NO BGM,,,,,,,,,,50,75,,,
245-45A,M,RBC,1.00,L,,,,SI1,G,EX,VG,F,N,6.16*6.11*4.08,6.16,6.11,4.08,GIA,2356518087,,1828.750,47.750,66.50,55.00,THK to VTK,,6.00,Faceted,NON,,18.50,39.00,42.00,NONE,BT1,WT1,TO0,CO1,40.00,GIA 2356518087 ,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/245-45A/still.jpg,https://srd.world/vision360/vision360.html?d=245-45A&s=0,,,SURE,NO BGM,,,,,,,,,,45,75,NEW YORK,,
241-22A,G,RBC,0.80,M,,,,SI1,EX,EX,EX,N,N,5.93*5.91*3.71,5.93,5.91,3.71,GIA,3355284343,,1125.750,40.750,62.60,55.00,MED to STK,,3.50,Faceted,NON,,16.50,36.00,42.50,NONE,BT0,WT1,TO0,CO0,40.60,GIA 3355284343,"GIA Color Is:-N, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/241-22A/still.jpg,https://srd.world/vision360/vision360.html?d=241-22A&s=0,,,MEDIUM,NO BGM,,,,,,,,,,50,75,NEW YORK,,
245-32A,G,RBC,1.00,F,,,,I1,EX,EX,EX,F,N,6.43*6.38*3.95,6.43,6.38,3.95,GIA,2356539413,,2460.000,40.000,61.60,61.00,MED to STK,,4.00,Faceted,NON,,13.00,34.00,44.50,NONE,BT2,WT1,TO1,CO0,41.60,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,NEW YORK,,,,https://srd.world/vision360/imaged/245-32A/still.jpg,https://srd.world/vision360/vision360.html?d=245-32A&s=0,,,MEDIUM,NO BGM,,,,,,,,,,50,75,NEW YORK,,
225-52A,G,PB,0.50,M,,,,VS1,G,VG,G,N,N,6.91*4.37*2.63,6.91,4.37,2.63,GIA,7353215003,,594.000,46.000,60.10,55.00,6.91,,,4.37,2.63,,,,,NONE,BT0,WT0,TO0,CO0,,GIA 7353215003,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/225-52A/still.jpg,https://srd.world/vision360/vision360.html?d=225-52A&s=0,,,EYE CLEAN YES,BROWN 1,,,,,,,,,,,,NV,,
227-33A,G,RBC,1.00,F,,,,SI2,VG,EX,EX,N,N,6.25*6.23*4.05,6.25,6.23,4.05,GIA,6345795146,,2655.000,55.000,64.90,55.00,MED to THK,,5.50,Faceted,NONE,,15.50,34.50,44.00,NONE,BT1,WT3,TO0,CO3,41.20,GIA 6345795146,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,NEW YORK,,,,https://srd.world/vision360/imaged/227-33A/still.jpg,https://srd.world/vision360/vision360.html?d=227-33A&s=0,,,EYE CLEAN NO,NO BGM,,,,,,,,,,45,75,,,
244-115A,G,RBC,0.33,H,,,,VVS1,EX,EX,EX,N,N,4.53*4.50*2.72,4.53,4.50,2.72,GIA,2358589016,,1305.150,37.850,60.40,60.00,MED,,3.50,Faceted,NON,,13.00,32.50,44.50,NONE,BT0,WT1,TO0,CO0,41.80,GIA 2358589016 ,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/244-115A/still.jpg,https://srd.world/vision360/vision360.html?d=244-115A&s=0,,,SURE,BROWN 1,,,,,,,,,,45,80,NEW YORK,,
225-104A,G,RBC,0.30,M,,,,VS1,EX,EX,EX,N,N,4.38*4.37*2.65,4.38,4.37,2.65,GIA,1358001321,,708.000,41.000,60.60,58.00,MED,,,Faceted,NON,,,,,NONE,BT0,WT1,TO0,CO0,,GIA 1358001321,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,HONG KONG,,,,https://srd.world/vision360/imaged/225-104A/still.jpg,https://srd.world/vision360/vision360.html?d=225-104A&s=0,,,SURE,NO BGM,,,,,,,,,,,,NEW YORK,,
243-1C,G,PB,0.30,F,,,,VVS1,EX,EX,VG,N,N,6.21*3.79*2.23,6.21,3.79,2.23,GIA,6352569761,,1163.750,38.750,58.80,65.00,MED to THK,,,Faceted,NON,,,,,NONE,BT0,WT0,TO0,CO0,,GIA 6352569761 ,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/243-1C/still.jpg,https://srd.world/vision360/vision360.html?d=243-1C&s=0,,,SURE,NO BGM,,,,,,,,,,,,NEW YORK,,
245-57A,G,RBC,0.96,G,,,,SI2,VG,EX,VG,M,N,6.24*6.31*3.87,6.24,6.31,3.87,IGI,432008614,,1771.000,59.750,61.70,62.00,Slightly Thick To Thick (Faceted) ,,5.10,,Pointed,,12.00,32.40,44.50,NONE,BT1,WT2,TO2,CO1,41.70,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/245-57A/still.jpg,https://srd.world/vision360/vision360.html?d=245-57A&s=0,,,MINOR,NO BGM,,,,,,,,,,,,NEW YORK,,
224-15A,G,OV,1.20,L,,,,SI1,EX,EX,VG,F,N,8.38*6.24*3.67,8.38,6.24,3.67,GIA,7341874091,,1434.000,40.250,58.90,60.00,THN to STK,,,Faceted,NONE,,,,,NONE,BT1,WT1,TO0,CO0,,GIA 7341874091,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/224-15A/still.jpg,https://srd.world/vision360/vision360.html?d=224-15A&s=0,,,EYE CLEAN NO,NO BGM,,,,,,,,,,,,,,
237-254A,G,OV,0.74,M,,,,SI1,VG,EX,VG,F,N,6.57*4.82*2.89,6.57,4.82,2.89,GIA,6351111256,,0.000,10.000,59.80,57.00,VTK to ETK,,,Faceted,NON,,,,,NONE,BT0,WT1,TO0,CO0,,GIA 6351111256,"GIA Color Is:-, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/237-254A/still.jpg,https://srd.world/vision360/vision360.html?d=237-254A&s=0,,,SURE,NO BGM,,,,,,,,,,,,NEW YORK,,
1875-19,G,RBC,1.05,L,,,,VS2,EX,EX,EX,N,N,6.58*6.55*3.98,6.58,6.55,3.98,IGI,414080660,,2090.000,45.000,60.60,59.00,MED to MED,,,Faceted,,,13.50,33.20,43.50,NONE,BT1,WT0,TO0,CO0,41.10,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/1875-19/still.jpg,https://srd.world/vision360/NoMedia/novideo.pdf,,,MEDIUM,NO BGM,,,,,,,,,,,,,,
DS-27,M,RBC,1.02,E,,,,I1,VG,VG,VG,M,BLUE,6.44*6.36*4.00,6.44,6.36,4.00,GIA,5353703532,,4300.000,0.000,62.40,59.00,MED to STK,,,Faceted,N/A,,0.15,,0.44,NONE,NV,WT2,TO0,CO1,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/DS-27/still.jpg,https://srd.world/vision360/vision360.html?d=DS-27&s=0,,,MINOR,NO BGM,,,,,,,,,,0,0,,,
227-161E,G,PB,0.30,I,,,,SI1,EX,EX,VG,F,N,5.96*3.81*2.25,5.96,3.81,2.25,GIA,5346889225,,550.000,50.000,59.10,59.00,MED to VTK,,,Faceted,NONE,,,,,NONE,BT1,WT0,TO0,CO0,,GIA 5346889225,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/227-161E/still.jpg,https://srd.world/vision360/vision360.html?d=227-161E&s=0,,,EYE CLEAN YES,BROWN 1,,,,,,,,,,,,,,
239-111A,G,RBC,0.70,L,,,,SI2,VG,EX,VG,M,BLUE,5.56*5.49*3.58,5.56,5.49,3.58,GIA,2358536387,,997.500,47.500,64.80,56.00,MED to THK,,5.00,Faceted,NON,,17.50,38.00,42.50,NONE,BT1,WT0,TO0,CO2,40.40,GIA 2358536387,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/239-111A/still.jpg,https://srd.world/vision360/vision360.html?d=239-111A&s=0,,,SURE,NO BGM,,,,,,,,,,50,75,NEW YORK,,
